###############################################################################
# pdi.txt
# This file was auto-generated by cryptotvgen v1.1.0
###############################################################################
# Parameter:
#
# add_partial            - False
# aead                   - pyjamask128aeadv1
# block_size             - 128
# block_size_msg_digest  - None
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# gen_custom_mode        - 0
# hash                   - None
# io (W,SW)              - (32, 32)
# key_size               - 128
# max_ad                 - 128
# max_block_per_sgmt     - 9999
# max_d                  - 128
# max_io_per_line        - 9999
# message_digest_size    - 64
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ('npub', 'ad', 'data', 'tag')
# npub_size              - 96
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### Authenticated Encryption
#### MsgID=  1, KeyID=  1 Ad Size =  114, Pt Size =  125
# Instruction: Opcode=Activate Key
DAT = 08137DAB9A541340874A50DE279540218E2F00C523050F6D44D928F607C2187A155D2AEF3D358E6B1CE1F5F920C8C9204C2544DE7CCE249685A4ADE6D2D2A241D4C9200FFA8AF32283A6248302F72C089020200B0777523DCF89593B37D0308920C91BAF
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=44 bytes
HDR = 4700002C
DAT = B435A494DBBE403D445A0D57AA956C086AA7ECB40D2EB8E969679DC2D9D01389B8F13374524B5CEA69AB097A

#### Authenticated Decryption
#### MsgID= 13, KeyID=  7 Ad Size =   88, Ct Size =   61
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 1916F636083FB6A0FA1A060A
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=88 bytes
HDR = 12000058
DAT = 4D057EA2B2D8F384839A304990082D79828D6961E54D412830794477F1B5899E1AC78337289BD497E387CC6A3260328A5CC53FBC3F9BE02D6BA1BB05886D64807BBF5F0F13A76338044A6E2F150FD5786C9C17AD68E799CC
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=61 bytes
HDR = 5600003D
DAT = DC517BDB4FB7F369B8B8626C66BFFE5C4F8AA38D2A600152A79AD33C7F0BF4BBB474CC710B6C38D9970DF14C86129AB3476B7189D86B7444452A9A5CCC000000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = AFD361FCA9C7AB266FEA0E1F6B960A6F

#### Authenticated Decryption
#### MsgID= 14, KeyID=  8 Ad Size =  106, Ct Size =   15
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = BD310CE3488E439E3390BBC5
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=106 bytes
HDR = 1200006A
DAT = 807EE44A327F73DABC56FA9D8A21283097D5B6BCA9F4B4C9EB51C8FBA20209D52A47EDDC3EF84FCF21217D3264D84A98BF205C2853D5E3C5EF6D464F187FF532FD9A6798DBF7C1B75D327C61C234EDA5E25266C7FA0A245D15FB1D12F87DDC31EEC9A44CB31C6243A7320000
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=15 bytes
HDR = 5600000F
DAT = C7B8C3B3CC78BECF17F10AE6F3D9D900
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = 806DDFC3D196CF29BE29C93BA13997E9

#### Authenticated Encryption
#### MsgID= 15, KeyID=  9 Ad Size =   91, Pt Size =    3
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 742A9C928D0DED458E7C512E
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=91 bytes
HDR = 1200005B
DAT = D55F0486609C78A72943AEAD423F36F3F3A0B6890AD989DD8FD621021FE6A3439911E901A0EA6DFDC1D53F4C0D86232BE7D17EF1E4E9E789CD767022330227ED0CBF76C0BE1CB86B6C7FCD1D2C5C7F6CD2590AF5B318039D309EA200
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=3 bytes
HDR = 47000003
DAT = 4E839000

#### Authenticated Encryption
#### MsgID= 16, KeyID=  9 Ad Size =   41, Pt Size =    3
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 00A0FDED75572ADE674342DE
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=41 bytes
HDR = 12000029
DAT = 25A26DF3D7C8EA82932B4AB3763590F2DC22C14434C90FC4920C13DB6F6ED8346A5E1BE7B9E183783C000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=3 bytes
HDR = 47000003
DAT = E8FB7600

#### Authenticated Encryption
#### MsgID= 17, KeyID=  9 Ad Size =   14, Pt Size =   41
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = A65A575FC1885E09C082E997
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=14 bytes
HDR = 1200000E
DAT = 2EE25D781B180D71D564296AE7EC0000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=41 bytes
HDR = 47000029
DAT = 3696E911133726AD4EF4AB7DE8662E5CE26761002E9F54F524A580347B564A2C2DEDDD3094B5E10CCC000000

#### Authenticated Encryption
#### MsgID= 18, KeyID=  9 Ad Size =   80, Pt Size =   46
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = BDB93E1E7C10B6A02812722F
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=80 bytes
HDR = 12000050
DAT = BCC8EEEC8503B2F68492A4174811EE0991203741940147ECBA210AB204B51DD1D27498C7D0FCD58D8777F713EAFEA3626C6020F3AC2EFBCF29C07F281286D4121ED663A8A5A40E5AF7DBE395DF87CAF9
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=46 bytes
HDR = 4700002E
DAT = 5A43B27C031485AB88F671E717B4FF1C63946A2D1B488519CF3E992947303816D567E9AF633638BD211243EBEB4E0000

#### Authenticated Decryption
#### MsgID= 19, KeyID=  9 Ad Size =  121, Ct Size =   58
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 7197167362C72ADC369BE2EC
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=121 bytes
HDR = 12000079
DAT = 82F1370C1D9ED5832E1BC5C63DEAD55DA96BC4EADCBBC9CCD0E60032BE013F6899C980A7FACF5AE019B640E78528E71ABAC10D80B6B0C3E62303C49EEEEB236FCEF0F71F430E2C45E2FDA8BDEBD52DCD3314FB5868B7D4442237A601197E1F1BFD6792562E02400773E2780D9F64380F829A5F15CC0BC43C3E000000
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=58 bytes
HDR = 5600003A
DAT = C91B9B7FB04E663D8768C7F9A9E7219E166BEC05043032F46BC588B1579793C23AD1692D312650B7C65F585F687835BE30877AB448845C0AA8C40000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = 733A818C3A428599BDFA7A8876EC1B29

#### Authenticated Encryption
#### MsgID= 20, KeyID=  9 Ad Size =   27, Pt Size =   10
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 5A8AADCAA29EDF760D658EFC
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=27 bytes
HDR = 1200001B
DAT = 77EDC22FE0D700E97CFFFC3E7754E8263120686C1B28A05DF3DC2E00
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=10 bytes
HDR = 4700000A
DAT = 35D719A4374112F892740000

#### Authenticated Decryption
#### MsgID= 21, KeyID=  9 Ad Size =  112, Ct Size =  125
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 9F38ACFC42E9A9962838AAC8
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=112 bytes
HDR = 12000070
DAT = ABECDD79D5517F8F53B906EC28157F180A6A54F6DEEE7A0375ACDFF371FCFAD2AF78F8AAEA1DBEF75B528BF51C6650E3816C4FAA20C9CFACB33B902468E6F9A2D30661E6A7A061EC1336676C904162DF7062E13C97D7D8CF2D17570C6C8C28893FE1101EC0DDFB12E1D6CDF48386B5CC
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=125 bytes
HDR = 5600007D
DAT = 231D27C7D049986F7E8075F41FD4C6C26A8D590FA070402CA7071D30ACC3C0E90BCC0F7072F5184C89D3AAC6C9BF714545643D3698E97EF391B3DF52A77AEE5C66D80AE338D046BED3B8070C1394BBBCEDF9A71D5CB856F4C02B9C54F67F8B46A3DA01135E5494BB10B17DB9887A87C7048F9699E0D24BBEC9179BAE8E000000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = C451CC062447F242EB2DB83C054C487A

#### Authenticated Decryption
#### MsgID= 22, KeyID=  9 Ad Size =   53, Ct Size =   95
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = AAAEE4E656CB1CB1C6981108
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=53 bytes
HDR = 12000035
DAT = 34F3F6A071B140DEAEDDA16D751A22751781F932A4ABFF33CB934C6654B6C87C5F8417CA150A7BC4FEE328E6AE0BDADBDB4F16B46B000000
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=95 bytes
HDR = 5600005F
DAT = CFCEE28904334A6E7B9ECDB805ED0D1440AA3CDD5EEF743FA5D81151A50DC51181DBD42D143688331D59BA979472516E02E8B5C7281BBF18D56C3D97CA56691213E063050FAB8BF5C8EC5B1EF4EC80113E80072ACFE4A5728063173DF0ED5E00
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = EDE1A22852CD1299479F9D39EB316E2E

#### Authenticated Encryption
#### MsgID= 23, KeyID= 10 Ad Size =   61, Pt Size =  102
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 489122F26F2372AA18CFFE4E
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=61 bytes
HDR = 1200003D
DAT = DAF550C87C0BE8D4CD0778AC2162F3A5679551405E1B7A899B6301A5D6BCB7E008DFBBE07B7CC8F148CF5E7EC9E6706A2F7FE8F49077208497DD8AE93C000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=102 bytes
HDR = 47000066
DAT = DBC5E817B0761177801415DC513958E03E587F04C9F95CBB9A705433739659D87CBDCD8F936D39CB071687F1D7E8D9D288A213CA9DB39863074FE599E6152D9F5F62EB4D2DCA6197416229654A504B0688F4D081B6B9F322C6D739DBCC785AA845291D22789B0000

#### Authenticated Decryption
#### MsgID= 24, KeyID= 10 Ad Size =   80, Ct Size =   63
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = F3BED27C9509AA4E687D1B60
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=80 bytes
HDR = 12000050
DAT = B97D6269D7B465280A2DB0DA7845551F034926F1ACA63286FF5F794EF41AE5B0C76B611BC5E980C7635C36F1202B3A463982579E2BD17CDD89D93694DF3835504B19629C472170A51E9F73D71D39EA01
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=63 bytes
HDR = 5600003F
DAT = 8FD198697DED722FB95413880CED284609E73B955909EF63B4491E2322DCCBD3790DBB6A8AF41A3B8162110F8295BA4FD66FF068DE9CD29D1751F59368985E00
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = 352ECD0B911E7747C76901C53356732B

#### Authenticated Encryption
#### MsgID= 25, KeyID= 10 Ad Size =   67, Pt Size =    1
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = C86199E1CF400D307ACC1F5A
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=67 bytes
HDR = 12000043
DAT = 9F1435957F800F4EB6D3C7F81BB2193425AFC7528B2D1C5E8004541D99C85AB64646793ECD68605569CDF64D973FBE85E5A9821AC3AB6C75AD7DE2FF589960A29CEFF900
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=1 bytes
HDR = 47000001
DAT = B7000000

#### Authenticated Encryption
#### MsgID= 26, KeyID= 11 Ad Size =   19, Pt Size =   44
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 7E345ECB797C2C7BAE658A67
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=19 bytes
HDR = 12000013
DAT = 13EFCABACBE6F7A244EBF23A5543A29C3BDF7300
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=44 bytes
HDR = 4700002C
DAT = 772EC9ADD51F9160126664291131F8100CD3E37C307258003D8430691D80DAC549BC38D0589C1F00D4C155B8

#### Authenticated Decryption
#### MsgID= 27, KeyID= 12 Ad Size =   42, Ct Size =   61
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 61DDB69B288542040EFA9A78
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=42 bytes
HDR = 1200002A
DAT = 4A65E30BEA7EB7678A86F7C35266949BBF362407CBAF4DB055A2814725BFBD54BBDCC3AF6CB9D655731D0000
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=61 bytes
HDR = 5600003D
DAT = 3FB50F2A3EAD9D41DAEC4EACC725771BB773F10DE71EDBFB707662CE87E6089B0193930A6B166FB879136DB77170779FF222E31E36271CE77A4DB74322000000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = CFCEA91A02802A2FB8DE9FA1C2D8D6EE

#### Authenticated Decryption
#### MsgID= 28, KeyID= 13 Ad Size =  110, Ct Size =  115
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = FF9D9D18E41F6B56B2BBE09A
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=110 bytes
HDR = 1200006E
